job_title,so_mau,luong_trung_binh,luong_trung_vi,luong_thap_nhat,luong_cao_nhat
chuyên viên tư vấn bảo hiểm kênh ngân hàng quảng nam,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng vietin bank lạng sơn,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng vietinbank bắc ninh,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng vietinbank ninh bình,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng vietinbank phú thọ,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm kênh ngân hàng vietinbank tuyên quang,1,55.0,55.0,10.0,100.0
chuyên viên tư vấn bảo hiểm vietinbank,1,55.0,55.0,10.0,100.0
giám đốc bán hàng dược phẩm otc,1,55.0,55.0,50.0,60.0
giám đốc bán hàng otc,1,55.0,55.0,50.0,60.0
giám đốc khối công nghệ thông tin,1,55.0,55.0,40.0,70.0
giám đốc kinh doanh dược phẩm,1,55.0,55.0,40.0,70.0
giám đốc kinh doanh hà nội,1,55.0,55.0,30.0,80.0
giám đốc phòng sales và chăm sóc khách hàng mảng nha khoa,1,55.0,55.0,50.0,60.0
mega gangnam chuyên viên kinh doanh thẩm mỹ,1,55.0,55.0,30.0,80.0
nhân viên kinh doanh có kinh nghiệm sale tour đoàn,1,55.0,55.0,10.0,100.0
nhân viên nông nghiệp,1,55.0,55.0,30.0,80.0
phó giám đốc chi nhánh phụ trách mảng khdn chi nhánh bình phước,1,55.0,55.0,45.0,65.0
phó giám đốc chi nhánh phụ trách mảng khdn chi nhánh tân an,1,55.0,55.0,45.0,65.0
phó giám đốc chi nhánh phụ trách mảng khdn chi nhánh vĩnh long,1,55.0,55.0,45.0,65.0
phó giám đốc chi nhánh phụ trách mảng khdn chi nhánh đăk nông gia lai,2,55.0,55.0,45.0,65.0
phó tổng giám đốc khối thẩm định,1,55.0,55.0,50.0,60.0
quản lý chi nhánh spa,1,55.0,55.0,30.0,80.0
quản lý vận hành trung tâm thương mại,1,55.0,55.0,50.0,60.0
trưởng ban pháp chế 50 60m,2,55.0,55.0,50.0,60.0
tư vấn viên bảo hiểm nhân thọ,1,55.0,55.0,10.0,100.0
vinwonders phú quốc kỹ sư trưởng,1,55.0,55.0,50.0,60.0
chuyên viên kinh doanh bđs lương cb từ 10 triệu trở lên,1,54.0,54.0,8.0,100.0
quality assurance manager,1,53.75,53.75,45.0,62.5
chuyên viên tư vấn bđs thu nhập không giới hạn,1,53.0,53.0,6.0,100.0
112210 legal officer energy,1,52.5,52.5,30.0,75.0
chuyên viên kỹ sư thiết kế kỹ thuật điều hòa,1,52.5,52.5,5.0,100.0
chuyên viên siêu dữ liệu,1,52.5,52.5,5.0,100.0
community and marketing specialist,1,52.5,52.5,5.0,100.0
english language instructors,1,52.5,52.5,47.5,57.5
financial planning analysis specialist,1,52.5,52.5,5.0,100.0
intern marketing,1,52.5,52.5,5.0,100.0
it infrastructure support,1,52.5,52.5,5.0,100.0
leader team tmv spa,1,52.5,52.5,25.0,80.0
nhân viên bán hàng có bằng dược sĩ,1,52.5,52.5,5.0,100.0
nhân viên bảo trì chuỗi cửa hàng,1,52.5,52.5,5.0,100.0
nhân viên chăm sóc khách hàng đại lý ô tô,1,52.5,52.5,5.0,100.0
nhân viên cứu hộ vận hành hồ bơi,1,52.5,52.5,5.0,100.0
nhân viên phòng lab nguyên liệu,1,52.5,52.5,5.0,100.0
phó giám đốc marketing,1,52.5,52.5,45.0,60.0
phó phòng kiểm thử đào tạo tt phát triển ứng dụng,1,52.5,52.5,45.0,60.0
senior android developer,1,52.5,52.5,5.0,100.0
thực tập sinh truyền thông tuyển dụng,1,52.5,52.5,5.0,100.0
trưởng phòng kỹ thuật công nghệ,1,52.5,52.5,40.0,65.0
trợ lý vận hành cửa hàng fitflop brand,1,52.5,52.5,5.0,100.0
cộng tác viên thực tập sinh kinh doanh bất động sản tại bắc giang,1,51.5,51.5,3.0,100.0
nhân viên kinh doanh bảo hiểm nhân thọ,1,51.5,51.5,3.0,100.0
brse pm tiếng nhật,2,51.25,45.0,30.0,75.0
trưởng phòng thương mại điện tử,2,51.25,50.0,45.0,60.0
kỹ sư camera,1,51.0,51.0,47.0,55.0
kỹ sư plc,1,51.0,51.0,47.0,55.0
kỹ sư công trình cầu đường,2,50.5,50.5,41.0,60.0
116911 investment manager real estate,1,50.0,50.0,46.0,54.0
ai engineer upto 60m,1,50.0,50.0,40.0,60.0
biên phiên dịch tiếng nga,1,50.0,50.0,40.0,60.0
bác sĩ nha khoa,3,50.0,60.0,20.0,80.0
bác sĩ nội tổng quát,1,50.0,50.0,40.0,60.0
bác sĩ sứ thẩm mỹ nha khoa,1,50.0,50.0,30.0,70.0
bác sĩ thẩm mỹ,1,50.0,50.0,40.0,60.0
bếp trưởng điều hành bếp trưởng bếp trung tâm,1,50.0,50.0,40.0,60.0
chuyên viên trưởng phòng chứng quyền,1,50.0,50.0,0.0,100.0
finalcial controller,1,50.0,50.0,40.0,60.0
financial analyst,1,50.0,50.0,37.5,62.5
financial planning and analysis manager,1,50.0,50.0,45.0,55.0
garment mechanic manager,1,50.0,50.0,37.5,62.5
garment technician,2,50.0,50.0,37.5,62.5
giám đốc công nghệ,1,50.0,50.0,40.0,60.0
giám đốc kinh doanh bất động sản,5,50.0,55.0,30.0,60.0
giám đốc kinh doanh kênh mt otc,1,50.0,50.0,40.0,60.0
giám đốc kinh doanh toàn quốc kênh mt,1,50.0,50.0,45.0,55.0
giám đốc kỹ thuật sản phẩm wicker furniture,1,50.0,50.0,40.0,60.0
giám đốc mua hàng,1,50.0,50.0,30.0,70.0
giám đốc nhà máy sản xuất giấy,1,50.0,50.0,40.0,60.0
giám đốc phát triển thị trường sendo farm miền bắc,1,50.0,50.0,40.0,60.0
giám đốc tài chính công ty thành viên,1,50.0,50.0,40.0,60.0
kiểm soát tài chính,1,50.0,50.0,40.0,60.0
lead senior digital performance marketing,1,50.0,50.0,25.0,75.0
mega gangnam chuyên viên tư vấn,1,50.0,50.0,30.0,70.0
native english teacher,2,50.0,50.0,37.5,62.5
nhân viên kinh doanh hcm thu nhập 1000 usd 3000 usd,1,50.0,50.0,25.0,75.0
nhân viên phục vụ bàn waiter waitress làm việc nước ngoài,3,50.0,50.0,20.0,80.0
nhân viên phục vụ bàn waiter waitress làm việc trên du thuyền quốc tế 5,2,50.0,50.0,20.0,80.0
online channel manager thực phẩm,1,50.0,50.0,40.0,60.0
online sales manager – thực phẩm tươi sống,1,50.0,50.0,40.0,60.0
phó giám đốc ban pháp chế,1,50.0,50.0,45.0,55.0
phó giám đốc chi nhánh phụ trách khách hàng doanh nghiệp kv hồ chí minh,1,50.0,50.0,40.0,60.0
phó giám đốc chi nhánh phụ trách mảng khcn chi nhánh tiền giang,1,50.0,50.0,40.0,60.0
phó giám đốc chi nhánh phụ trách mảng khcn chi nhánh tiền giang sóc trăng,1,50.0,50.0,40.0,60.0
phó giám đốc chi nhánh phụ trách mảng khcn chi nhánh tân an,1,50.0,50.0,40.0,60.0
phó phòng kinh doanh câu lạc bộ,1,50.0,50.0,30.0,70.0
product owner minicrm,1,50.0,50.0,40.0,60.0
quản lý dự án thu nhập 40 60tr đi làm ngay,1,50.0,50.0,40.0,60.0
quản lý khách hàng kênh siêu thị chuỗi mom baby,1,50.0,50.0,40.0,60.0
quản lý kinh doanh nội địa,1,50.0,50.0,40.0,60.0
quản lý phát triển kênh bán hàng online – fmcg thực phẩm,1,50.0,50.0,40.0,60.0
quản lý phát triển đối tác chiến lược,1,50.0,50.0,45.0,55.0
sales leader b2b thu nhập 20 80tr nghỉ t7 cn,1,50.0,50.0,20.0,80.0
sales leader thu nhập 20 80tr tháng nghỉ thứ 7 chủ nhật,1,50.0,50.0,20.0,80.0
sales manager for gt channel,1,50.0,50.0,40.0,60.0
senior ai vision engineer,1,50.0,50.0,25.0,75.0
senior business development execuitive,1,50.0,50.0,25.0,75.0
senior front end developer msb 1y562,1,50.0,50.0,25.0,75.0
senior java developer squad lead – msb 1y560,1,50.0,50.0,25.0,75.0
senior product designer,1,50.0,50.0,40.0,60.0
senior seo marketing,1,50.0,50.0,25.0,75.0
tech lead – pdp checkout,1,50.0,50.0,40.0,60.0
thợ mộc,1,50.0,50.0,40.0,60.0
trưởng ban vận hành khu đô thị,1,50.0,50.0,40.0,60.0
trưởng phòng cao cấp marketing,1,50.0,50.0,40.0,60.0
trưởng phòng digital marketing,2,50.0,35.0,30.0,100.0
trưởng phòng kinh doanh dịch vụ kho vận,1,50.0,50.0,0.0,100.0
trưởng phòng kinh doanh dự án 40 60 triệu tháng,1,50.0,50.0,40.0,60.0
trưởng phòng kinh doanh thương mại,1,50.0,50.0,37.5,62.5
trưởng phòng kinh doanh xuất khẩu oem,1,50.0,50.0,37.5,62.5
trưởng phòng kế hoạch đầu tư,1,50.0,50.0,37.5,62.5
valuation market analyst head,1,50.0,50.0,40.0,60.0
sales marketing manager,3,49.0,39.5,30.0,87.5
trưởng phòng kinh doanh bất động sản,10,48.85,17.5,8.0,300.0
nhân viên phục vụ bar làm việc trên du thuyền 5,4,48.5,48.5,20.0,77.0
associate staff chuyên viên pháp lý,3,48.333333333333336,50.0,22.0,75.0
115664 l d assistant manager real estate,1,48.0,48.0,45.0,51.0
117180 design manager real estate,1,48.0,48.0,44.0,52.0
phiên dịch viên trung anh,1,48.0,48.0,34.0,62.0
production manager,4,47.8125,50.0,20.0,75.0
bác sĩ da liễu,11,47.72727272727273,45.0,5.0,100.0
110282 tax manager consulting,1,47.5,47.5,40.0,55.0
118149 japanese speaking factory manager quản lý nhà máy manufacturing,1,47.5,47.5,40.0,55.0
administrative cum legal manager,1,47.5,47.5,40.0,55.0
deputy head of sale,1,47.5,47.5,40.0,55.0
giám đốc trade marketing,2,47.5,47.5,35.0,60.0
giám đốc trưởng phòng kinh doanh,2,47.5,47.5,25.0,70.0
lawyer,1,47.5,47.5,40.0,55.0
nhân viên kinh doanh hà nội thu nhập 1000 usd 3000 usd,1,47.5,47.5,20.0,75.0
operations supervisor,1,47.5,47.5,40.0,55.0
quản lý dự án tiếng nhật,1,47.5,47.5,45.0,50.0
sales director,2,47.5,40.0,35.0,60.0
trưởng phòng kế toán sản xuất,1,47.5,47.5,45.0,50.0
trưởng phòng marketing có tiếng nhật id25824,1,47.5,47.5,45.0,50.0
113872 sales manager consulting,1,47.0,47.0,45.0,49.0
factory technical support hỗ trợ kỹ thuật nhà máy,1,47.0,47.0,40.0,54.0
trưởng phòng thiết kế cơ khí,3,46.833333333333336,56.25,23.0,75.0
giám đốc marketing,2,46.75,41.0,37.0,60.0
118214 site manager construction,1,46.5,46.5,43.0,50.0
trưởng khoa chẩn đoán hình ảnh,1,46.5,46.5,45.0,48.0
116851 japanese speaking chinese speaking manufacturing management staff,1,46.25,46.25,37.5,55.0
phó giám đốc kinh doanh sales deputy director,1,46.25,46.25,42.5,50.0
trưởng phòng kinh doanh kênh bán hàng trực tiếp,1,46.25,46.25,37.5,55.0
trưởng phòng xuất nhập khẩu quan hệ quốc tế,2,46.25,45.0,40.0,55.0
112215 investment assistant manager real estate,1,46.0,46.0,42.0,50.0
