job_title,so_viec_lam
chuyên viên tư vấn giáo dục lương từ 13 triệu tháng,12
nhân viên trực page,11
giám sát nhà hàng,11
trưởng phòng kỹ thuật,11
trưởng phòng quản lý chất lượng,11
giám sát sản xuất,11
kỹ sư m e,11
sales leader,11
nhân viên tư vấn du học,11
nhân viên sale,11
phiên dịch viên tiếng trung,11
nhân viên quản lý đơn hàng,11
nhân viên thiết kế rập,11
chủ nhiệm lớp anh ngữ thu nhập từ 13 triệu tháng,11
chuyên viên it,11
nhân viên kcs,11
nhân viên tư vấn bán hàng lương 8m 12m,11
nhân viên dịch vụ khách hàng,11
nhân viên giao hàng,11
nhân viên hse,11
nhân viên lễ tân hành chính,11
sales logistics,11
kỹ sư thiết kế kết cấu,11
nhân viên kế toán giá thành,11
bác sĩ da liễu,11
nhân viên kỹ thuật sản xuất,11
nhân viên kỹ thuật lắp đặt nam,11
chuyên viên đấu thầu,11
chỉ huy trưởng công trình,11
chuyên viên r d,11
nhân viên tư vấn trả góp trực tại cửa hàng xe máy điện thoại tổng thu nhập từ 8tr tháng,10
chuyên viên qc,10
nhân viên sale marketing,10
nhân viên phiên dịch tiếng hàn,10
nhân viên kinh doanh kênh mt,10
kỹ thuật viên bảo trì,10
trợ lý dự án,10
chuyên viên phát triển thị trường,10
kỹ sư kết cấu,10
nhân viên tạp vụ,10
quản đốc sản xuất,10
nhân viên giao nhận,10
trade marketing specialist,10
nhân viên hành chính kế toán,10
kế toán tổng hợp thuế,10
chuyên viên mua hàng tiếng trung,10
nhân viên kỹ thuật hiện trường,10
leader marketing,10
nhân viên marketing online,10
backend developer,10
nhân viên kiểm soát chất lượng,10
kỹ sư qa qc,10
chuyên viên pháp lý,10
chuyên viên phân tích nghiệp vụ,10
kỹ sư kinh doanh,10
trưởng phòng kinh doanh bất động sản,10
it helpdesk,10
nhân viên tư vấn chăm sóc khách hàng,10
nhân viên tư vấn thẩm mỹ,9
bsv nhân viên tư vấn văn phòng dịch vụ viettel,9
leader content,9
hành chính nhân sự tổng hợp,9
chuyên viên kỹ thuật,9
nhân viên qs,9
kỹ sư dự toán xây dựng,9
chuyên viên tư vấn đi làm ngay,9
